date,time_of_day,crime_type,location,latitude,longitude,victim_gender,victim_age,perpetrator_gender,perpetrator_age,weapon,injury,weather,temperature,previous_activity
12/18/2021,21:29:18,Assault,Whitefield,13.1206,77.5712,Female,62.0,Other,18.0,Gun,Major,Partly Cloudy,40.0,Fraud
9/16/2018,8:36:10,Forgery,Jayanagar,13.068,77.5754,Male,56.0,Male,18.0,,Fatal,Partly Cloudy,10.0,
6/2/2018,4:27:36,Embezzlement,Koramangala,13.0788,77.6458,Other,18.0,Male,20.0,Gun,Fatal,Partly Cloudy,5.0,Robbery
2/24/2020,10:51:00,Robbery,Electronic City,12.8899,77.5503,Male,25.0,Male,25.0,Gun,Minor,Clear,25.0,Drug Offense
6/2/2018,8:01:24,Forgery,Indiranagar,13.0214,77.4496,Male,53.0,Other,63.0,Knife,,Clear,20.0,Fraud
2/24/2018,21:00:41,Embezzlement,JP Nagar,13.0559,77.4998,Other,36.0,Female,47.0,Gun,Fatal,Overcast,1.0,Robbery
4/13/2019,18:54:23,Vandalism,Marathahalli,13.0814,77.5721,Other,61.0,Female,39.0,Knife,Major,Overcast,0.0,Burglary
4/16/2021,21:58:36,Forgery,Banashankari,13.0547,77.5186,Female,25.0,Female,23.0,Knife,Major,Clear,25.0,
1/13/2022,3:38:23,Forgery,JP Nagar,12.9809,77.7966,Female,58.0,Female,18.0,Gun,Minor,Clear,0.0,Embezzlement
3/5/2018,9:25:17,Burglary,JP Nagar,13.0961,77.4986,Female,35.0,Other,49.0,Knife,,Clear,37.0,Drug Offense
4/29/2021,6:56:17,Theft,Electronic City,12.9208,77.4237,Other,30.0,Female,28.0,,Fatal,Overcast,20.0,Burglary
8/2/2022,20:16:00,Fraud,Banashankari,13.1532,77.6746,Female,55.0,Male,48.0,Blunt Object,Minor,Clear,7.0,Forgery
7/5/2021,20:33:33,Robbery,Jayanagar,12.9826,77.7132,Other,62.0,Female,23.0,,Fatal,Rain,10.0,Embezzlement
10/1/2018,18:13:30,Vandalism,Banashankari,13.1391,77.62,Male,27.0,Female,31.0,,,Clear,33.0,Assault
9/28/2021,6:36:59,Embezzlement,Marathahalli,12.8746,77.7989,Other,37.0,Female,42.0,Gun,Major,Rain,8.0,Fraud
6/22/2020,23:05:43,Theft,Banashankari,12.9363,77.4805,Male,21.0,Other,61.0,Blunt Object,Major,Partly Cloudy,17.0,Drug Offense
8/13/2022,0:37:42,Vandalism,Jayanagar,12.9822,77.5382,Male,27.0,Other,52.0,Knife,,Clear,3.0,Theft
5/11/2019,6:28:02,Assault,Indiranagar,13.0582,77.6439,Other,43.0,Other,58.0,Knife,Major,Partly Cloudy,15.0,
7/10/2022,15:26:00,Embezzlement,Electronic City,13.1544,77.439,Male,27.0,Female,22.0,,Major,Overcast,27.0,Vandalism
11/30/2021,22:34:24,Burglary,Yelahanka,13.0076,77.5068,Other,62.0,Female,57.0,Knife,Major,Snow,40.0,Fraud
1/27/2021,4:25:27,Burglary,Whitefield,12.8912,77.4086,Male,40.0,Other,61.0,Blunt Object,Minor,Snow,30.0,Burglary
12/27/2022,15:19:12,Embezzlement,JP Nagar,13.0014,77.4377,Male,33.0,Other,27.0,Gun,Major,Overcast,24.0,Theft
2/22/2019,23:52:51,Fraud,Yelahanka,13.1463,77.4136,Other,25.0,Male,31.0,Gun,Major,Snow,8.0,Fraud
5/21/2018,19:11:22,Drug Offense,Banashankari,13.1326,77.4475,Other,46.0,Other,47.0,,,Partly Cloudy,11.0,Vandalism
4/14/2019,21:19:32,Assault,Yelahanka,13.1024,77.5917,Other,18.0,Other,43.0,Knife,,Snow,28.0,Fraud
6/30/2019,14:27:55,Theft,HSR Layout,13.0019,77.5627,Other,52.0,Other,55.0,,Minor,Clear,11.0,
3/15/2021,17:15:07,Assault,Kamakshipalya,13.1291,77.5332,Male,62.0,Female,45.0,Blunt Object,Minor,Overcast,20.0,Burglary
6/25/2022,13:36:44,Fraud,Whitefield,13.1882,77.6379,Male,53.0,Female,24.0,Gun,Major,Rain,11.0,Theft
8/17/2019,14:57:40,Embezzlement,Indiranagar,12.9185,77.7436,Other,36.0,Female,46.0,Gun,Major,Partly Cloudy,9.0,Robbery
7/21/2021,22:46:47,Forgery,Indiranagar,12.9528,77.7404,Other,63.0,Other,58.0,,Fatal,Clear,10.0,
4/29/2019,11:01:36,Forgery,Electronic City,12.8318,77.509,Male,18.0,Other,41.0,,Fatal,Overcast,9.0,Fraud
11/4/2018,9:01:01,Theft,Indiranagar,12.8953,77.4513,Other,49.0,Other,24.0,Knife,Fatal,Rain,28.0,Fraud
7/3/2018,15:13:32,Forgery,Banashankari,13.1293,77.5375,Other,48.0,Female,56.0,,Fatal,Snow,33.0,Embezzlement
